ticker,ticker_cnt,industry,beta,sector
LTHM,9,Specialty Chemicals,2.027037,Basic Materials
PRVB,9,Biotechnology,2.595785,Healthcare
ITOX,9,Computer Hardware,3.674324,Technology
RNR,9,Insurance—Reinsurance,0.547549,Financial Services
TSSI,9,Information Technology Services,0.95147,Technology
FSK,9,Asset Management,1.490196,Financial Services
VASO,9,Health Information Services,2.778921,Healthcare
SPIN,9,Medical Care Facilities,,Healthcare
IMAC,9,Medical Care Facilities,-1.717732,Healthcare
BHTG,9,,,
OBLG,9,Software—Application,2.475609,Technology
EMPR,9,,,
ENSG,9,Medical Care Facilities,0.97745,Healthcare
ITCI,9,Drug Manufacturers—Specialty & Generic,1.188725,Healthcare
CWBR,9,Biotechnology,2.547549,Healthcare
CPSI,9,Health Information Services,0.673529,Healthcare
HCMC,9,Grocery Stores,99.20931,Consumer Defensive
BCSF,9,Asset Management,1.448903,Financial Services
NRP,9,Thermal Coal,0.566666,Energy
XPL,9,Other Industrial Metals & Mining,1.465196,Basic Materials
AE,9,Oil & Gas Refining & Marketing,0.987254,Energy
BKTI,9,Communication Equipment,1.352941,Technology
LBTYA,9,Entertainment,1.180882,Communication Services
WEN,9,Restaurants,0.934313,Consumer Cyclical
QPRC,9,Consulting Services,-0.210784,Industrials
REXR,9,REIT—Industrial,0.770588,Real Estate
INFU,9,Medical Instruments & Supplies,1.139705,Healthcare
ATDS,9,Software—Infrastructure,-4.891176,Technology
SRLP,9,Oil & Gas Refining & Marketing,0.663725,Energy
RMSL,9,Medical Devices,-2.394117,Healthcare
ANET,9,Computer Hardware,1.223039,Technology
RCAR,9,Biotechnology,1.598039,Healthcare
EQR,9,REIT—Residential,0.808333,Real Estate
BOTY,9,Entertainment,3.014705,Communication Services
CURO,9,Credit Services,2.669459,Financial Services
SWX,9,Utilities—Regulated Gas,0.216666,Utilities
VYST,9,Specialty Chemicals,21.562744,Basic Materials
AMNL,9,Other Industrial Metals & Mining,0.303431,Basic Materials
RM,9,Credit Services,1.317156,Financial Services
ECPG,9,Mortgage Finance,1.306372,Financial Services
JKSM,9,Specialty Industrial Machinery,-4.203669,Industrials
LGIQ,9,Software—Application,2.094607,Technology
MET,9,Insurance—Life,1.184313,Financial Services
ATRI,9,Medical Instruments & Supplies,0.087254,Healthcare
SMSI,9,Software—Application,0.774509,Technology
CHRA,9,Waste Management,0.236739,Industrials
CCXI,9,Biotechnology,1.837254,Healthcare
VOYA,9,Financial Conglomerates,1.363725,Financial Services
PAYD,9,Software—Application,-0.445098,Technology
ATHX,9,Biotechnology,-1.559313,Healthcare
BHVN,9,Biotechnology,1.063063,Healthcare
PIPR,9,Capital Markets,1.40147,Financial Services
